ATA,yyyy,mm,dd
ATA-21,2015,05,05
ATA-21,2014,10,18
ATA-21,2015,09,13
ATA-21,2016,02,02
ATA-21,2017,05,18
ATA-21,2017,06,08
ATA-21,2017,10,11
ATA-21,2017,09,17
ATA-21,2018,03,10
ATA-21,2018,03,20
ATA-21,2018,01,27
ATA-21,2018,01,03
ATA-21,2017,10,21
ATA-21,2017,03,21
ATA-21,2017,06,08
ATA-21,2015,11,12
ATA-21,2012,08,21
ATA-21,2014,11,11
ATA-21,2013,05,30
ATA-21,2014,02,03
ATA-21,2012,11,16
ATA-21,2012,11,24
ATA-21,2014,02,16
ATA-21,2013,09,11
ATA-21,2015,03,08
ATA-21,2015,07,30
ATA-21,2016,08,08
ATA-21,2016,08,31
ATA-21,2016,08,17
ATA-21,2012,08,21
ATA-21,2015,04,20
ATA-21,2016,08,31
ATA-21,2013,09,06
ATA-21,2014,08,10
ATA-21,2014,04,09
ATA-27,2015,11,23
ATA-27,2016,12,24
ATA-27,2017,10,09
ATA-27,2018,01,01
ATA-27,2017,01,10
ATA-27,2017,04,03
ATA-27,2016,06,02
ATA-27,2016,03,23
ATA-27,2016,09,01
ATA-27,2014,12,07
ATA-27,2014,01,13
ATA-27,2013,05,02
ATA-27,2014,03,14
ATA-27,2014,08,04
ATA-27,2013,06,18
ATA-27,2014,09,10
ATA-27,2014,10,11
ATA-27,2012,09,07
ATA-27,2013,03,30
ATA-27,2013,06,05
ATA-27,2013,02,06
ATA-27,2014,01,04
ATA-27,2014,01,22
ATA-27,2013,12,30
ATA-27,2014,02,07
ATA-27,2013,01,07
ATA-27,2012,11,09
ATA-27,2013,01,13
ATA-27,2013,02,19
ATA-27,2012,12,16
ATA-27,2014,02,05
ATA-27,2012,09,12
ATA-34,2014,12,28
ATA-34,2017,10,24
ATA-34,2017,02,23
ATA-34,2017,05,30
ATA-34,2017,04,11
ATA-34,2016,08,27
ATA-34,2016,08,25
ATA-34,2015,09,02
ATA-34,2016,01,23
ATA-34,2015,09,01
ATA-34,2014,12,11
ATA-34,2015,07,06
ATA-34,2013,04,16
ATA-34,2012,12,25
ATA-34,2012,09,15
ATA-34,2014,12,03
ATA-34,2016,04,16
ATA-34,2013,04,30
ATA-34,2012,12,15
ATA-34,2015,01,03
ATA-34,2014,04,13
ATA-34,2015,03,03
ATA-34,2015,01,25
ATA-34,2013,05,23
ATA-34,2013,06,28
ATA-32,2013,07,01
ATA-32,2013,09,09
ATA-32,2014,12,14
ATA-32,2015,05,24
ATA-32,2018,02,05
ATA-32,2018,03,05
ATA-32,2017,03,07
ATA-32,2017,09,08
ATA-32,2017,01,17
ATA-32,2014,03,19
ATA-32,2013,08,06
ATA-32,2016,08,19
ATA-32,2015,02,16
ATA-32,2015,07,18
ATA-32,2014,05,17
ATA-32,2012,10,26
ATA-32,2014,03,03
ATA-32,2014,04,04
ATA-32,2014,02,22
ATA-32,2013,11,14
ATA-32,2016,03,15
ATA-32,2014,07,02
ATA-32,2014,09,07
ATA-30,2016,11,23
ATA-30,2017,12,12
ATA-30,2013,06,10
ATA-30,2015,04,21
ATA-30,2015,02,27
ATA-30,2015,03,04
ATA-30,2014,05,20
ATA-30,2014,04,18
ATA-30,2015,04,05
ATA-30,2014,03,22
ATA-30,2014,11,22
ATA-30,2016,05,05
ATA-30,2013,02,09
ATA-30,2015,04,28
ATA-30,2015,08,01
ATA-30,2015,01,29
ATA-30,2013,05,27
ATA-30,2014,03,07
ATA-36,2013,02,21
ATA-36,2017,08,13
ATA-36,2017,07,01
ATA-36,2017,03,17
ATA-36,2017,05,19
ATA-36,2017,04,28
ATA-36,2016,12,02
ATA-36,2016,03,02
ATA-36,2016,07,17
ATA-36,2016,11,10
ATA-36,2015,10,19
ATA-36,2016,10,16
ATA-36,2016,09,20
ATA-36,2013,03,04
ATA-36,2014,06,14
ATA-36,2015,10,29
ATA-36,2015,02,14
ATA-36,2015,05,29
ATA-22,2013,07,19
ATA-22,2017,09,02
ATA-22,2018,02,01
ATA-22,2016,02,07
ATA-22,2012,09,26
ATA-22,2018,03,21
ATA-22,2014,02,04
ATA-22,2015,02,22
ATA-22,2014,04,23
ATA-28,2014,04,03
ATA-28,2016,05,15
ATA-28,2016,03,02
ATA-28,2015,12,12
ATA-28,2015,09,26
ATA-28,2016,10,14
ATA-28,2013,12,11
ATA-28,2015,04,23
ATA-28,2015,10,11
ATA-24,2014,11,20
ATA-24,2015,06,22
ATA-24,2014,08,03
ATA-24,2014,04,05
ATA-24,2014,02,12
ATA-24,2015,02,25
ATA-24,2015,10,10
ATA-24,2015,05,05
ATA-49,2015,01,01
ATA-49,2016,01,28
ATA-49,2017,02,06
ATA-49,2017,11,18
ATA-49,2017,04,06
ATA-49,2016,07,22
ATA-49,2015,05,18
ATA-49,2014,05,30
ATA-23,2014,05,28
ATA-23,2017,03,10
ATA-23,2017,04,03
ATA-23,2014,01,27
ATA-23,2015,06,16
ATA-23,2012,10,03
ATA-23,2012,10,10
ATA-29,2012,11,13
ATA-29,2017,03,24
ATA-29,2017,10,01
ATA-29,2014,10,21
ATA-29,2014,06,02
ATA-29,2015,04,04
ATA-31,2013,10,05
ATA-31,2016,06,26
ATA-31,2015,09,06
ATA-31,2012,08,30
ATA-31,2014,12,05
ATA-26,2017,03,21
ATA-26,2013,01,13
ATA-26,2012,08,21
ATA-26,2014,04,19
ATA-47,2016,05,08
ATA-47,2018,02,23
ATA-47,2017,05,30
ATA-47,2015,02,08
ATA-52,2016,12,17
ATA-52,2016,10,14
ATA-52,2013,03,24
ATA-52,2014,08,17
ATA-79,2017,06,27
ATA-79,2012,08,21
ATA-79,2013,05,19
ATA-79,2014,06,19
ATA-33,2014,04,02
ATA-33,2017,01,31
ATA-33,2016,01,10
ATA-38,2017,07,29
ATA-38,2014,08,24
ATA-38,2014,07,09
ATA-46,2017,03,10
ATA-46,2014,01,04
ATA-46,2015,05,22
ATA-75,2014,12,26
