ATA,yyyy,mm,dd
ATA-21,2017,05,11
ATA-21,2017,08,03
ATA-21,2017,08,02
ATA-21,2017,10,01
ATA-21,2017,09,04
ATA-22,2017,06,04
ATA-23,2017,06,06
ATA-23,2018,02,28
ATA-23,2018,03,18
ATA-24,2017,08,24
ATA-24,2017,09,12
ATA-24,2018,03,23
ATA-24,2018,02,15
ATA-27,2017,06,12
ATA-27,2017,10,13
ATA-27,2017,10,29
ATA-27,2017,11,03
ATA-27,2017,09,29
ATA-28,2017,10,22
ATA-28,2017,07,26
ATA-29,2017,06,18
ATA-31,2017,05,04
ATA-31,2017,07,26
ATA-31,2017,10,30
ATA-32,2017,11,09
ATA-32,2017,11,03
ATA-34,2017,06,20
ATA-34,2018,02,25
ATA-36,2017,05,21
ATA-36,2017,09,18
ATA-36,2017,08,30
ATA-36,2017,10,26
ATA-36,2017,09,23
ATA-36,2017,07,03
ATA-36,2017,07,10
ATA-38,2017,06,03
ATA-47,2017,10,01
ATA-49,2017,06,29
ATA-52,2017,05,04
ATA-52,2017,05,26
ATA-52,2017,08,08
ATA-73,2017,05,01
ATA-73,2018,01,29
ATA-73,2017,12,20
ATA-73,2017,12,03
ATA-74,2017,05,06
ATA-78,2017,12,21
